dep;departmentPopulation
01;649012
02;552529
03;351626
04;166635
05;146060
06;1097556
07;333781
08;285612
09;157904
10;316888
11;376667
12;290199
13;2045149
14;709986
15;151920
16;366289
17;658529
18;317101
19;250077
2A;155285
2B;177438
21;546601
22;618156
23;124569
24;427579
25;551143
26;519264
27;619392
28;445361
29;936478
30;754170
31;1361286
32;198213
33;1578386
34;1140030
35;1070462
36;230546
37;619651
38;1278347
39;270474
40;416642
41;343392
42;775977
43;234555
44;1400585
45;691291
46;179573
47;343059
48;80176
49;833080
50;517500
51;585622
52;184987
53;318079
54;748528
55;196681
56;767610
57;1064593
58;219019
59;2641081
60;841252
61;295936
62;1496824
63;664386
64;690788
65;236017
66;479421
67;1134800
68;777878
69;1852002
70;245130
71;573281
72;583151
73;441669
74;816748
75;2228409
76;1283249
77;1412250
78;1454532
79;385395
80;584143
81;398190
82;261452
83;1065985
84;569618
85;685673
86;445927
87;384226
88;385043
89;351302
90;147799
91;1294240
92;1620776
93;1603095
94;1384068
95;1231356
971;404542
972;386875
973;262381
974;860896
976;270372